429,-115
-600,-996
-375,945
-551,347
-572,-760
-943,-361
985,-591
909,976
939,837
-283,967
-539,-67
488,529
-436,607
561,102
-322,473
-500,851
613,645
-76,673
625,-233
320,235
760,381
224,823
-769,-523
-434,501
1,943
315,388
-499,456
-500,-220
-720,653
-765,88
-547,-537
445,539
846,468
-547,-351
-374,-426
713,709
-105,-922
-254,885
462,-467
757,521
-858,731
-637,756
843,271
-667,-486
626,903
-995,179
-750,-408
291,-315
-480,489
488,497
-487,604
-801,429
732,467
-742,516
-583,735
739,-175
464,618
767,-97
-347,-532
-631,650
595,-201
-134,432
398,-288
-499,-377
-829,680
788,576
312,-299
835,204
-744,-936
687,11
935,704
873,-319
634,425
800,930
113,780
-888,249
-836,-364
437,485
947,-679
205,649
112,-818
-459,-684
978,-720
225,24
192,587
-633,-82
-535,-519
-32,2
-586,-616
-364,693
583,-799
-824,138
-545,469
-633,550
-731,-43
750,273
423,-947
29,-848
-182,-553
-835,-383
989,245
497,304
-899,-695
162,-567
-594,-300
693,519
163,-816
302,784
481,-110
214,787
825,102
-505,-190
-527,-869
272,-95
-28,-492
110,471
263,-959
14,-675
-677,-986
-908,72
-352,823
56,-875
-1,93
-648,-80
-33,-226
49,-361
394,937
90,622
181,679
999,-951
490,997
-873,-119
616,491
-754,-447
345,8
-577,-723
369,-464
263,-927
-35,268
-763,-189
-258,-157
976,944
57,774
-682,523
-586,-629
-396,861
-709,181
-922,-547
-747,618
-728,780
839,98
-557,-302
-182,-424
473,-915
-487,919
-739,-54
-542,331
36,924
-925,943
-583,57
389,-944
431,894
673,239
-30,727
-400,287
648,-726
763,807
-740,996
-317,741
981,-642
409,165
337,-176
576,318
-455,-675
-7,-536
656,326
863,-455
-905,-115
-161,103
-719,-350
528,438
570,-954
-142,-332
-445,-716
544,224
-871,-86
-414,-82
955,601
786,175
406,-467
818,-458
151,153
85,943
-340,324
30,-543
-114,222
-389,-322
852,-454
900,504
935,-56
679,-329
884,452
908,-275
996,-805
311,-956
-704,-875
-531,958
-333,-263
-24,-706
-62,551
-86,360
932,693
-610,-652
-527,384
180,-514
624,480
631,86
228,-441
477,721
-180,-413
-285,587
-401,-216
-491,671
985,-164
-917,-366
221,-205
819,-98
-542,166
-691,-206
582,121
-892,-793
103,-903
-738,-20
-821,820
284,416
695,-400
-145,92
-448,439
-766,-7
592,-478
-762,-685
-722,937
-898,129
-9,-83
-956,-719
59,-407
894,932
256,755
-588,-526
-670,587
491,-698
-841,-428
297,290
714,248
905,-31
-593,-379
-657,569
-416,793
-571,744
882,126
328,887
-852,631
579,937
912,-783
-562,223
-806,976
-794,-55
-322,318
885,287
132,-903
-101,699
99,-220
-775,-674
-615,-716
-595,-295
241,655
-154,600
391,987
-239,-724
-684,447
-53,-405
-345,162
-846,701
-69,755
228,-491
783,-880
-644,-17
-924,-507
-741,-515
228,266
150,-255
-86,-956
392,-313
624,-199
829,132
988,-324
-431,854
684,-390
260,198
-902,178
174,962
269,871
-125,199
593,740
173,-235
-734,-528
4,510
431,-452
765,-536
528,-562
-361,-169
274,-556
-36,-129
-844,351
-959,-356
